date,year,place,user_name,result
2021-02-20,2021,Loon,ben,390
2021-02-20,2021,Loon,liang,-620
2021-02-20,2021,Loon,loon,-320
2021-02-20,2021,Loon,seb,1100
2021-02-20,2021,Loon,shuming,950
2021-02-20,2021,Loon,yopo,-1500
2021-02-13,2021,Loon,ben,570
2021-02-13,2021,Loon,KA,80
2021-02-13,2021,Loon,liang,-1900
2021-02-13,2021,Loon,leo,-200
2021-02-13,2021,Loon,loon,220
2021-02-13,2021,Loon,seb,630
2021-02-13,2021,Loon,shuming,600
2021-02-13,2021,Loon,yopo,0
2021-02-06,2021,Loon,ben,-450
2021-02-06,2021,Loon,Francis,0.01
2021-02-06,2021,Loon,KA,-600
2021-02-06,2021,Loon,KC,200
2021-02-06,2021,Loon,liang,440
2021-02-06,2021,Loon,loon,-300
2021-02-06,2021,Loon,seb,-50
2021-02-06,2021,Loon,shuming,860
2021-02-06,2021,Loon,tushit,-200
2021-02-06,2021,Loon,YJ,400
2021-02-06,2021,Loon,yopo,-300
2021-01-23,2021,Loon,ben,2300
2021-01-23,2021,Loon,KA,-330
2021-01-23,2021,Loon,liang,-300
2021-01-23,2021,Loon,loon,280
2021-01-23,2021,Loon,seb,-2350
2021-01-23,2021,Loon,shuming,400
2021-01-23,2021,Loon,YJ,0
2021-01-16,2021,Loon,ben,-225
2021-01-16,2021,Loon,liang,680
2021-01-16,2021,Loon,leo,-300
2021-01-16,2021,Loon,loon,140
2021-01-16,2021,Loon,russ,380
2021-01-16,2021,Loon,seb,-600
2021-01-16,2021,Loon,yopo,-30
2021-01-09,2021,Shuming,ben,275
2021-01-09,2021,Shuming,liang,-75
2021-01-09,2021,Shuming,loon,300
2021-01-09,2021,Shuming,seb,-50
2021-01-09,2021,Shuming,shuming,-340
2021-01-09,2021,Shuming,tushit,-110
2021-01-01,2021,Loon,ben,-350
2021-01-01,2021,Loon,liang,15
2021-01-01,2021,Loon,loon,80
2021-01-01,2021,Loon,seb,-200
2021-01-01,2021,Loon,shuming,360
